AQ_ID,n_viirs_days,n_matches,activ_dur
59585,3,0,1
60497,1,0,5
62420,1,0,17
62427,9,1,17
62429,1,0,17
63059,1,0,24
63060,1,0,5
63113,1,0,13
63118,1,0,10
63119,1,0,8
63381,6,0,26
63462,1,1,5
64685,5,0,30
64978,11,3,8
64979,11,1,8
64980,11,1,6
65947,1,0,1
65949,2,0,30
65998,2,1,31
66257,1,1,30
66263,2,0,1
66330,3,1,31
66334,3,1,21
66335,3,0,16
66606,17,6,30
66610,8,0,2
66611,8,2,3
66614,8,3,11
66620,1,1,31
66623,1,1,31
66979,4,0,21
67008,1,0,5
67029,9,0,5
67031,1,0,5
67061,1,0,5
67265,4,3,6
67285,1,1,24
67292,1,0,6
67302,11,0,7
67307,1,0,4
68181,9,1,5
68183,1,0,5
68189,1,0,5
69138,1,0,8
69458,4,0,1
69459,4,0,1
69460,4,0,1
69461,4,0,1
69462,1,0,1
70097,1,0,1
71377,1,0,1
71378,1,0,1
71379,1,0,1
72671,5,3,26
73306,3,0,2
73319,17,1,2
73329,2,0,1
73332,7,2,3
73346,1,0,29
73353,1,0,29
73355,8,0,1
73356,8,0,1
73357,8,0,1
73358,8,0,1
73359,1,0,1
73361,3,3,3
73379,1,0,29
73382,10,1,2
73424,2,0,29
73618,3,0,2
73634,1,0,21
73639,2,0,1
73648,4,1,2
73665,4,1,10
73672,2,0,1
73962,3,1,9
73967,1,0,10
73995,1,0,1
74051,1,0,12
74058,4,1,12
74060,1,0,12
74064,1,0,12
74066,1,1,5
74262,2,0,2
74263,4,0,3
74267,6,1,31
74270,11,2,21
74577,2,0,1
74898,1,0,5
75220,1,0,5
75537,3,2,29
75860,2,0,2
77144,10,2,2
77458,1,0,5
77460,9,1,5
77465,4,0,5
77467,1,0,5
78100,9,1,5
78102,1,0,5
78104,9,1,5
78121,2,0,4
78147,15,4,27
78156,15,3,10
78170,2,0,20
78171,2,0,1
78745,8,3,26
78747,2,0,1
79377,1,0,5
79379,9,2,5
79382,1,0,5
79383,4,0,5
79385,17,0,1
79393,17,0,9
79396,8,0,8
79404,1,0,5
79713,2,0,31
79780,2,1,31
80060,1,0,1
80070,11,0,3
80086,1,0,2
80101,3,1,29
80354,1,0,8
80413,1,1,31
80431,11,0,11
80440,2,0,4
80444,3,0,9
80979,3,0,3
80988,4,0,1
80989,1,0,8
81302,3,0,1
81377,2,0,1
81625,1,0,5
81626,1,0,5
81627,9,0,5
81631,4,0,5
81634,4,1,28
81645,15,0,23
83545,9,0,5
83551,4,0,4
83879,6,1,29
86100,1,0,12
86103,2,1,12
87060,11,0,2
87069,8,0,29
87388,5,0,1
87392,1,0,29
87413,6,1,31
87450,2,0,30
87455,2,0,30
87459,17,2,15
87462,5,0,11
87464,3,0,1
88346,3,0,10
89634,1,0,30
90261,4,3,27
92832,1,0,1
94099,1,0,5
94105,1,0,5
95136,2,0,6
95438,5,0,32
95455,1,0,31
95762,1,0,32
95794,2,0,5
95807,2,0,3
95826,2,0,29
96023,3,0,9
96028,1,0,25
96029,1,0,31
96030,1,0,29
96031,1,0,32
96046,1,1,60
96049,2,0,2
96055,4,0,2
96340,1,1,4
97298,2,0,3
97619,1,0,1
97637,1,1,4
97954,5,0,2
98268,1,0,1
98900,2,0,1
98907,1,0,1
98908,1,0,1
98911,15,0,31
99235,12,0,1
99236,12,0,1
99553,1,0,17
99556,1,0,7
101457,1,1,31
102747,1,0,1
103070,5,5,30
103072,5,3,3
103697,1,0,1
104667,1,0,22
104669,2,0,1
104670,4,0,1
104671,4,0,1
104672,4,0,1
105617,4,0,1
105621,1,0,1
105937,2,0,2
105945,1,0,1
105946,1,0,1
105947,2,0,1
105948,1,0,1
109601,1,0,1
117180,2,0,140
126770,3,0,1
126771,3,0,1
128348,1,0,1
129618,3,0,23
130257,3,0,1
130258,3,0,1
130930,5,0,3
131260,17,0,1
131268,12,0,1
131269,4,0,1
131270,3,0,1
131283,7,2,5
131284,7,2,5
131336,2,0,30
131388,1,0,25
131858,1,0,1
131867,3,1,29
131883,3,0,1
131884,2,0,1
132183,4,0,1
133137,5,0,30
133505,5,1,4
133506,5,0,4
133507,5,0,3
133785,1,0,1
134097,1,0,1
134108,1,0,30
134741,9,8,182
134775,1,0,1
135699,1,0,1
137946,1,0,5
138577,4,2,31
138589,3,0,31
138651,3,0,3
138652,3,0,1
138657,5,1,31
138673,1,0,31
138681,2,2,31
138897,2,2,3
138913,3,0,1
138916,1,0,31
138928,11,0,29
139563,3,0,2
139568,1,1,4
139898,5,0,31
140177,2,2,31
141146,4,2,13
141777,2,0,3
141778,2,0,1
141779,2,0,2
141781,2,0,3
142105,1,1,31
146258,3,0,3
155859,2,0,1
155860,2,0,1
171267,5,0,1
199715,5,3,184
203865,1,0,1
205551,1,0,1
239124,4,0,92
239125,4,0,92
239403,5,5,91
239527,1,1,92
252186,15,15,184
253185,1,1,92
253224,2,1,91
253249,4,1,91
253251,4,0,92
253252,4,1,91
253255,4,0,92
253295,2,2,92
253815,5,0,91
253816,5,0,92
254521,1,1,91
254573,10,8,91
258948,6,6,126
271721,2,1,141
271722,2,1,133
271777,3,1,61
271791,3,0,184
271821,3,2,182
340181,3,1,22
348219,2,0,1
348220,2,0,1
348227,2,1,2
348514,5,0,3
348515,5,0,4
348516,13,0,3
348529,1,0,1
348530,1,0,7
348562,17,6,26
380820,2,0,81
